text,date,upvotes,downvotes,author,video_title
"정말 충격적인 뉴스네요. 이런 일이 일어날 줄 몰랐습니다.",2023-01-15 14:30:25,15,2,user123,샘플 뉴스 영상
"동감합니다. 앞으로 어떻게 될지 궁금하네요.",2023-01-15 15:45:12,8,0,commenter456,샘플 뉴스 영상
"이 문제에 대해 더 자세히 알고 싶어요.",2023-01-15 16:20:33,12,1,viewer789,샘플 뉴스 영상
"좋은 분석이었습니다. 감사합니다.",2023-01-16 09:15:44,25,0,analyst001,샘플 뉴스 영상
"이런 상황이 반복되지 않았으면 좋겠어요.",2023-01-16 10:30:15,18,3,concerned_citizen,샘플 뉴스 영상
"언론의 역할이 중요하다고 생각합니다.",2023-01-16 11:45:22,22,1,media_watcher,샘플 뉴스 영상
"객관적인 보도 감사합니다.",2023-01-16 13:20:18,14,0,news_reader,샘플 뉴스 영상
"더 많은 정보가 필요할 것 같아요.",2023-01-17 08:30:45,9,2,info_seeker,샘플 뉴스 영상
"이 사건의 진실이 밝혀지길 바랍니다.",2023-01-17 14:15:33,31,1,truth_seeker,샘플 뉴스 영상
"사회적 책임을 다해야 한다고 생각해요.",2023-01-17 16:45:12,19,0,responsible_user,샘플 뉴스 영상
"앞으로의 대응이 중요할 것 같습니다.",2023-01-18 09:20:25,16,2,future_thinker,샘플 뉴스 영상
"이런 일이 다시는 일어나지 않기를 바라요.",2023-01-18 11:30:44,28,0,hopeful_viewer,샘플 뉴스 영상
"정확한 사실 확인이 필요합니다.",2023-01-18 13:45:18,13,1,fact_checker,샘플 뉴스 영상
"언론의 공정성이 중요하다고 봅니다.",2023-01-19 10:15:33,21,0,fairness_advocate,샘플 뉴스 영상
"이 문제에 대한 해결책이 필요해요.",2023-01-19 15:30:22,17,3,solution_seeker,샘플 뉴스 영상
"모든 관련자들이 책임을 져야 합니다.",2023-01-19 17:45:15,24,1,accountability_user,샘플 뉴스 영상
"투명한 조사가 이루어지기를 바랍니다.",2023-01-20 08:20:44,20,0,transparency_advocate,샘플 뉴스 영상
"이런 상황에서 냉정한 판단이 필요해요.",2023-01-20 12:15:33,15,2,rational_thinker,샘플 뉴스 영상
"사실에 기반한 보도를 해주세요.",2023-01-20 14:30:25,18,0,fact_based_user,샘플 뉴스 영상
"이 사건을 통해 많은 것을 배웠습니다.",2023-01-20 16:45:18,12,1,learning_user,샘플 뉴스 영상 